Designator,Mid X,Mid Y,Layer,Rotation
C1,-35.76,44.60,Bottom,39.0
C2,-56.06,11.17,Bottom,260.0
C3,-50.13,-27.48,Bottom,300.0
C4,-20.74,-53.27,Bottom,160.0
C5,18.35,-54.14,Bottom,200.0
C6,48.86,-29.67,Bottom,60.0
C7,56.50, 8.67,Bottom,100.0
C8,37.71,42.96,Bottom,140.0
C9, 1.27,57.15,Bottom,0.0
C11,-52.50,-15.07,Bottom,180.0
C12,-0.89,-54.86,Bottom,0.0
C13,-60.71,-8.51,Bottom,90.0
C14,-6.35,-60.99,Bottom,90.0
C15,-53.59,-3.68,Bottom,90.0
C19,-52.96,-8.51,Bottom,90.0
Q1,-58.15,-14.46,Bottom,90.0
R1,-32.84,47.04,Bottom,39.0
R2,-38.68,42.15,Bottom,39.0
R3,-55.40,14.93,Bottom,260.0
R4,-56.72, 7.42,Bottom,260.0
R5,-52.03,-24.18,Bottom,300.0
R6,-48.22,-30.77,Bottom,300.0
R7,-24.32,-51.97,Bottom,160.0
R8,-17.16,-54.57,Bottom,160.0
R9,14.77,-55.44,Bottom,200.0
R10,21.93,-52.83,Bottom,200.0
R11,46.95,-32.97,Bottom,60.0
R12,50.76,-26.38,Bottom,60.0
R13,57.16, 4.92,Bottom,100.0
R14,55.84,12.43,Bottom,100.0
R15,40.63,40.51,Bottom,140.0
R16,34.79,45.41,Bottom,140.0
R17, 5.08,57.15,Bottom,0.0
R18,-2.54,57.15,Bottom,0.0
R19,43.18,-43.18,Bottom,180.0
R20,39.37,-43.18,Bottom,180.0
R21,35.56,-43.18,Bottom,180.0
R22,-56.90,-4.57,Bottom,0.0
R24, 4.61,-55.50,Bottom,270.0
U10,41.91,-39.37,Bottom,180.0
U11,-56.77,-8.13,Bottom,90.0
U12,-37.72,-44.07,Bottom,228.0
